"","full_address","latitude","longitude","total_leasedSF","company_list","sector_list","lease_count","crimes_within_500m","crime_score","weighted_routes","accesibilty","internal_class","price_multiplier"
"11","1 Vanderbilt Ave, New York, NY, 10017",40.7529718,-73.9785423,1269800,"Greenberg Traurig LLP; Carlyle Group; American Express; Walker & Dunlop; Cipher Mining; Tennor Holding B.v; Gfl Environmental; NA; Stone Point Capital; Castleton Commodities International; Mcdermott Will & Emery; Kps Capital Partners; Sentinel Capital Partners; Oak Hill Advisors; Accordion Partners; Msd Partners,; Nearwater Capital; Kyndryl; Mubadala Investment; Stone Ridge Asset Management; Td Securities; 17 Capital; Stone Point Capital; Mcdermott Will & Emery; NA; Carlyle Group; NA; Intandem Capital Partners/Sagewind Capital; The Carlyle Group; NA; NA; Fis Global; AIMCO; United Healthcare; Td Securities; Oak Hill Advisors; Hodges Ward Elliott; Dz Bank; 1life Healthcare; Heidrick & Struggles, International; Uipath; Stone Point Capital; Flexpoint Ford; NA","Legal Services; Financial Services And Insurance; Real Estate (Except Coworking Providers); Energy & Utilities; NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Technology, Advertising, Media, And Information; Healthcare; Manufacturing (Except Pharmaceutical, Retail, And Computer Tech)",44,600,0.788434414668547,27.0767015073647,0.763154259574644,"A",106196979.114576
"12","1 W 34th St, New York, NY, 10001",40.7510985,-73.9919723,30218,"NA; British Virgin Islands Tourist Board; NA; Body Mechanics; Dr.stein; NA; NA; NA; NA; NA; NA; NA; Astor Accesories; NA","NA; Transportation",14,1853,0.346614950634697,29.2175021138732,0.823492521283243,"A",2717437.776912
"13","1 W 34th St, New York, NY, 10001",40.7510985,-73.9919723,30218,"NA; British Virgin Islands Tourist Board; NA; Body Mechanics; Dr.stein; NA; NA; NA; NA; NA; NA; NA; Astor Accesories; NA","NA; Transportation",14,1853,0.346614950634697,29.2175021138732,0.823492521283243,"O",1811625.184608
"14","1 Whitehall St, New York, NY, 10004",40.7038284,-74.0127779,138383,"NA; NA; NA; Hamilton Advance; Hwkn Architecture; Adstruc; NA; The Topps; NA","NA; Financial Services And Insurance; Construction, Engineering And Architecture; Technology, Advertising, Media, And Information; Retail",9,269,0.905148095909732,19.0098258993315,0.535790136952291,"A",11573363.175943
"15","1-13 E 33rd St, New York, NY, 10016",40.7452584,-73.9790701,101072,"NA; European Home Designs; J.e.m. International; Regal Jewelry; NA; Q4 Designs; NA","NA; Retail; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Tbd",7,494,0.825811001410437,13.6300714240512,0.384162268167787,"O",5635292.21035776
"16","10 Astor Pl, New York, NY, 10003",40.729822,-73.9920048,22000,"NA; Maybern","NA; Technology, Advertising, Media, And Information",2,414,0.854019746121298,22.2058900641401,0.625870901796715,"O",1318940.832
"17","10 Crosby St, New York, NY, 10013",40.7199815,-74.0003741,16850,"NA; Sakara Life","NA; Retail",2,905,0.680888575458392,28.0322224004791,0.790085525168223,"O",1010188.7736
"18","10 E 39th St, New York, NY, 10016",40.7511092,-73.9815702,18011,"NA; NA; NA; NA; G & I Travel; NA; NA; NA; NA; NA; NA","NA; Transportation",11,649,0.771156558533145,28.5091418639059,0.803527454935378,"O",1079792.878416
"19","10 E 40th St, New York, NY, 10016",40.7517726,-73.9810488,294704,"The Echo Design Group; NA; Hart Howerton; NA; NA; Impax Asset Mgmt; Prospect Capital; NA; NA; NA; Visible Alpha; NA; Alpha Square Group; NA; American Heart Association; NA; NA; Pirelli North America; Berkman Bottger Newman & Schein; NA; NA; NA; Wework; NA; NA; NA; Ergo; NA","Retail; NA; Construction, Engineering And Architecture; Financial Services And Insurance; Technology, Advertising, Media, And Information; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Transportation; Legal Services; Coworking And Executive Suite Companies; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",28,625,0.779619181946403,28.8738733955474,0.813807378503531,"O",16431288.1466803
"20","10 E 53rd St, New York, NY, 10022",40.7597879,-73.9752965,240169,"NA; Altaris Capital; NA; NA; NA; Bridgepoint Advisers; NA; Compass; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Acc Investments; Citizens Jmp Securities; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA","NA; Financial Services And Insurance; Tbd; Real Estate (Except Coworking Providers); Unclassifiable",37,662,0.76657263751763,27.480146550136,0.77452531977603,"A",20086015.3386113
"21","10 Hudson Yards, New York, NY, 10001",40.7527324,-74.0015279,231211,"NA; Kkr & Co. L.p; Boston Consulting Group; Ardea Partners; Boston Consulting Group; L'oreal; NA; Ardea Partners; NA","NA; Financial Services And Insurance; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Retail",9,328,0.884344146685472,10.0920968867912,0.284444791958869,"A",19336832.3657743
"22","10 Rockefeller Plaza, New York, NY, 10020",40.757976,-73.9794142,191016,"NA; Three Sixty Brand Group; First Republic Bank; First Republic Bank; Christies","NA; Financial Services And Insurance; Retail",5,815,0.71262341325811,32.7410221361724,0.922802598361235,"A",15975210.3973459
"23","10 W 18th St, New York, NY, 10011",40.7387535,-73.9929149,12000,"NA; NA; NA; Rebel Hospitality",NA,4,756,0.73342736248237,25.1395964664504,0.70855713803031,"O",719422.272
"24","10 W 33rd St, New York, NY, 10001",40.7479614,-73.9857859,182991,"NA; Gina Group; NA; Cudlie Accessories; NA; NA; Wellspun Usa; NA; NA; NA; NA; NA; NA; NA; NA; NA; Sam Hedeya Linens; NA; Artistic Linen; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Lynco Products; NA; Supply Accessories; Welspun Group; NA; NA; NA; NA; NA; NA; NA; NA","NA; Retail; Personal Services And Recreation; Manufacturing (Except Pharmaceutical, Retail, And Computer Tech)",47,1158,0.591678420310296,27.9707045630406,0.788351650764493,"O",10202704.5756053
"25","10 W 46th St, New York, NY, 10036",40.7562097,-73.9800628,7396,"NA; NA; Vantage Point Alternative; Carat World; NA; NA",NA,6,836,0.705218617771509,32.6447045364229,0.920087895962909,"O",443403.926976
"26","100 Avenue of the Americas, New York, NY, 10013",40.7192013,-74.0051489,316197,"Two Sigma; NA; NA","Financial Services And Insurance; NA",3,672,0.763046544428773,27.1683298975623,0.765736797047249,"O",17629635.2208178
"27","100 Broadway, New York, NY, 10005",40.7079777,-74.0110935,158285,"Cargo Business Systems; Mm.lafleur; Empire Media Group; Tommy John; Parsons Igroup; Team Epiphany; Buro Happold Consulting","Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Retail; Technology, Advertising, Media, And Information; Construction, Engineering And Architecture",7,711,0.749294781382228,27.2150359408297,0.767053202439454,"A",13237823.9401092
"28","100 Church St, New York, NY, 10007",40.7130609,-74.0096199,31738,"NA; Regus","NA; Coworking And Executive Suite Companies",2,840,0.703808180535966,31.1441267252077,0.877794252915559,"O",1902752.005728
"29","100 Crosby St, New York, NY, 10012",40.724028,-73.996957,66885,"NA; NA; NA; NA; NA; Rho; NA; Cedar Cares, Inc., Fka Careportal; 101 Studios; Billie (Personal Products); Cs Global; NA; Billie","NA; Financial Services And Insurance; Technology, Advertising, Media, And Information; Retail",13,795,0.719675599435825,25.0964894173904,0.707342169947923,"O",3729188.2963608
"30","100 Park Ave, New York, NY, 10017",40.7513385,-73.9790005,1040057,"Sun Capital Partners; Global Credit Advisors; NA; NA; NA; NA; NA; Itv Us Holdings; NA; NA; Alphasights; NA; NA; Neustar; NA; NA; NA; NA; Eaton Vance; NA; NA; Hq Global Workplaces; NA; NA; NA; NA; NA; Aetna; Wells Fargo; NA; NA; Numerix; Hunt Executive Search; Vox Funding; NA; NA; NA; NA; NA; NA; NA; AECOM; Tishman Realty Partners; Marek Capital Management; NA; Starz/Lionsgate; NA; NA; Alvarez & Marsal","Financial Services And Insurance; NA; Technology, Advertising, Media, And Information; Coworking And Executive Suite Companies; Construction, Engineering And Architecture; Real Estate (Except Coworking Providers); Unclassifiable; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",49,541,0.809238363892807,24.8697804794317,0.70095240006994,"A",86982919.7566298
"31","100 Pearl St, New York, NY, 10004",40.9073821,-73.8513921,840846,"Nyc Health + Hospitals; Fred Alger Management; Securities And Exchange Commission; Open Squash","Healthcare; Financial Services And Insurance; Government; Personal Services And Recreation",4,0,1,0,0,"A",70322338.2426955
"32","100 Wall St, New York, NY, 10005",40.7052203,-74.0067996,204969,"NA; NA; NA; NA; Sheeley; NA; NA; Octavian; Pr Consulting; NA; NA; Foster Garvey; Trinity Life Sciences; NA; NA; NA; NA; NA; NA; NA; NA; Allocaterite Digital; Metis Associates; NA; NA; Foster Garvey","NA; Legal Services; Financial Services And Insurance; Technology, Advertising, Media, And Information; Healthcare; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",26,285,0.89950634696756,21.1029538165141,0.594784748441361,"A",17142139.4015873
"33","100 West 33rd St, New York, NY, 10001",40.7491551,-73.98929,600299,"NA; Haddad Apparel Group; Interpublic Group (Ipg)","NA; Retail; Technology, Advertising, Media, And Information",3,1646,0.419605077574048,30.6902779747853,0.86500256900261,"O",33469806.4605979
"34","100 William St, New York, NY, 10038",40.7083413,-74.007174,58324,"NA; NCSP; NA; Riverside Research; NA; NA; NA; NA; NA; NA","NA; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Pharmaceuticals",10,676,0.76163610719323,28.0370777212573,0.790222371923077,"O",3251867.80588992
"35","100-104 5th Ave, New York, NY, 10011",40.8021613,-73.9453686,136515,"NA; Red Ventures; NA; Brown Harris Stevens; NA; Accrue Savings; Superblocks; Adobe; NA; Battery Ventures; NA; NA; Secretaria","NA; Financial Services And Insurance; Real Estate (Except Coworking Providers); Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",13,588,0.792665726375176,9.17036957685203,0.258465995296541,"O",7611424.6883112
"36","100-104 5th Ave, New York, NY, 10011",40.8021613,-73.9453686,136515,"NA; Red Ventures; NA; Brown Harris Stevens; NA; Accrue Savings; Superblocks; Adobe; NA; Battery Ventures; NA; NA; Secretaria","NA; Financial Services And Insurance; Real Estate (Except Coworking Providers); Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",13,588,0.792665726375176,9.17036957685203,0.258465995296541,"A",11417137.0324668
"37","1001 6th Ave, New York, NY, 10018",40.7520382,-73.9865605,143808,"Accutime Watch; NA; NA; NA; NA; NA; NA; NA; NA; Two Roads Advisors; Accutime Watch; NA; NA; NA; NA; Offchain Labs; NA; NA; NA; Neo Philanthropy","Manufacturing (Except Pharmaceutical, Retail, And Computer Tech); NA; Financial Services And Insurance; Retail; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals)",20,1796,0.366713681241185,33.8202270229651,0.953219885566091,"O",8018047.55211264
"38","101 Avenue Of The Americas, New York, NY, 10013",40.7233776,-74.0054974,72178,"NA; NA; NA; Ntopology","NA; Technology, Advertising, Media, And Information",4,471,0.83392101551481,21.8432178361312,0.615649019505804,"A",6036451.06200336
"39","101 Fifth Ave, New York, NY, 10003",40.9124482,-73.8092361,53980,"Knotel; NA; Knotel; NA; NA; Srx Technologies; NA; Luma Partners","Coworking And Executive Suite Companies; NA; Technology, Advertising, Media, And Information",8,0,1,0,0,"O",3009667.1037984
"40","101 Greenwich St, New York, NY, 10006",40.7031288,-73.6203222,291117,"NA; Percolate; NA; Seismic; Ocrolus; NA; NA; NA; NA; Botify; Petplan; NA; Smartly.io; NA; NA; Faust Goetz Schenker & Blee; Morris Duffy Alonso & Faley; NA; NA; Invnt; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Ocrolus; Simtech","NA; Technology, Advertising, Media, And Information; Construction, Engineering And Architecture; Financial Services And Insurance; Legal Services; Tbd",36,0,1,0,0,"O",16231294.1507314
"41","101 Park Ave, New York, NY, 10178",40.7508308,-73.9776118,322856,"Alliant Insurance; Nippon; Wendel North America; Incline Equity Partners; NA; Alliant Insurance; NA; Sills Cummis Epstein & Gross; NA; Federated Investors; Customers Bank; NA; Ci Financial Corp","Financial Services And Insurance; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; NA; Legal Services; Tbd",13,493,0.826163610719323,21.4890761155179,0.605667568755402,"A",27001363.9069267
"42","102 Madison Ave, New York, NY, 10016",40.7448725,-73.9852398,53036,"NA; Knotel 102 Madison; Bombora; J&D Brush Holdings; NA","NA; Coworking And Executive Suite Companies; Technology, Advertising, Media, And Information; Financial Services And Insurance",5,657,0.768335684062059,23.1387422104676,0.652163250915738,"O",2957034.17037888
"43","104 E 25th St, New York, NY, 10010",40.7411344,-73.9848524,21200,"Swann Auction Galleries","Retail",1,567,0.800070521861777,17.6334385476991,0.496996790209623,"O",1270979.3472
"44","104 W 27th St, New York, NY, 10001",40.74548,-73.9916663,53684,"NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Kairos Media","NA; Technology, Advertising, Media, And Information",13,691,0.756346967559944,26.9142926501604,0.758576781363926,"O",2993163.55687872
"45","104 W 29th St, New York, NY, 10001",40.7467094,-73.990804,27005,"Atelier Ten Usa; NA","Construction, Engineering And Architecture; NA",2,1535,0.458744710860367,28.1231271558052,0.79264766706072,"O",1618999.87128
"46","104 W 40th St, New York, NY, 10018",40.7535612,-73.9858179,171705,"NA; NA; NA; NA; NA; CIMB; NA; NA; NA; NA; NA; NA; Ivy Elite; NA; NA; Huntington Bank; NA; NA; NA; NA; NA; NA; NA; EDX","NA; Financial Services And Insurance",24,2004,0.293370944992948,35.1274251091019,0.990063139434062,"A",14360176.6410996
"47","104-110 Greene St, New York, NY, 10012",40.7214991,-74.0023134,267550,"NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Leanplum; NA; NA; Untuckit; NA; NA; NA; NA; NA; NA; Activant Capital; Manhattan Portage; NA; NA; NA; NA; NA; NA; NA; NA; Il Makiage; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Knotel; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA","NA; Technology, Advertising, Media, And Information; Retail; Financial Services And Insurance; Coworking And Executive Suite Companies",77,826,0.708744710860367,26.807610567085,0.755569956987732,"O",14917310.737704
"48","1040 Avenue of the Americas, New York, NY, 10018",40.7529923,-73.9850431,192866,"NA; NA; Awh Partners; NA; NA; NA; NA; NA; B6 Real Estate Advisors; NA; Congregation Share Zedek; Dice; Uptv; Ladas & Perry; NA; Bonadio; Spivak Lipton; NA; Update; NA; Outdoor Sportman Group; NA","NA; Real Estate (Except Coworking Providers); Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Legal Services; Technology, Advertising, Media, And Information; Unclassifiable",22,1673,0.410084626234133,34.4676426843488,0.971467234474743,"O",10753287.4331453
"49","105 E 17th St, New York, NY, 10003",40.7364606,-73.988553,124999,"New York University","Education",1,856,0.698166431593794,20.8452789339069,0.587522206355368,"O",6969347.50477392
"50","105 Madison Ave, New York, NY, 10016",40.7449703,-73.9848254,83700,"NA; Knotel; NA; NA; NA","NA; Coworking And Executive Suite Companies",5,625,0.779619181946403,22.700152432499,0.639801639691725,"O",4666712.422896
"51","105-113 Wooster St, New York, NY, 10012",40.7248005,-74.0005916,25200,"Comcast","Technology, Advertising, Media, And Information",1,840,0.703808180535966,24.1086961593595,0.679501310815195,"O",1510786.7712
"52","106 W 56th St, New York, NY, 10019",40.7637079,-73.9784075,40154,"Electra Usa; NA; NA; NA; NA; NA; NA; NA; Commonwealth Partners; NA; NA; Barros & Errázuriz; Zachert Private Equity North America",NA,13,660,0.767277856135402,27.8391839754161,0.784644755497353,"A",3610960.238736
"53","107 Greenwich St, New York, NY, 10006",40.7080923,-74.013425,92313,"Si Engineering; Lendbuzz; Puck; NA; NA; NA; NA; Prosight Speciality Insurance; NA; Revolut; NA","Construction, Engineering And Architecture; Financial Services And Insurance; Technology, Advertising, Media, And Information; NA",11,508,0.820874471086037,25.1437835724013,0.708675151213742,"A",7720398.27768456
"54","108 W 39th St, New York, NY, 10018",40.7529581,-73.9861021,36592,"NA; Conan Steel; Offices; Offices; Offices; Offices; NA; Euro Joy Sportswear; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA","NA; Retail",19,1883,0.336036671368124,34.6758960188552,0.977336834922787,"O",2193758.314752
"55","1095 Avenue of the Americas, New York, NY, 10036",40.7546492,-73.9848112,731791,"Lloyds Bank; Salesforce; Standard Chartered Bank; Standard Chartered Bank; VTS; Caisse De Dépôt Et Placement Du Québec (Cdp Capital); NA; NA; NA; Time; China Construction Bank; Stifel Bank; Dechert; Renaissancere; NA","Financial Services And Insurance; Technology, Advertising, Media, And Information; Real Estate (Except Coworking Providers); NA; Legal Services; Unclassifiable",15,1260,0.555712270803949,35.2890689283205,0.994619055121836,"A",61201758.9724639
"56","11 Broadway, New York, NY, 10004",40.7053339,-74.0139867,236751,"NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Law Office; NA; NA; NA; NA; NA; Morgan Builders; NA; NA; NA; Oraiko; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA","NA; Legal Services; Real Estate (Except Coworking Providers); Technology, Advertising, Media, And Information",124,277,0.902327221438646,21.0094198413822,0.592148502238423,"O",13200105.5296661
"57","11 E 26th St, New York, NY, 10010",40.7434212,-73.9872464,140434,"The Butterfly Network; NA; NA; Hasboro; NA; Activate; NA; Exemplis; NA; Holocene Advisors; NA; Jump Trading; Avenues: The World School","Technology, Advertising, Media, And Information; NA; Manufacturing (Except Pharmaceutical, Retail, And Computer Tech); Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Retail; Tbd; Financial Services And Insurance; Education",13,685,0.758462623413258,23.6050862728967,0.665307114010482,"O",7829929.41931872
"58","11 E 44th St, New York, NY, 10017",40.7545013,-73.9789708,169116,"NA; NA; NA; NA; Tech Tenant; Tech Tenant; VTEX; NA; NA; NA; NA; NA; NA; NA; NA; Italian Consulate; NA; NA; NA; Feintuch Communications; Hook Capital; NA; NA; Advan Research; NA; NA; NA; NA; Private Equity; NA; NA; NA; NA; NA; NA; Tech Tenant; Tech Tenant; NA; NA; NA; NA","NA; Technology, Advertising, Media, And Information; Government; Financial Services And Insurance",41,771,0.728138222849083,29.6939237188834,0.836920418958225,"O",9429100.81374528
"59","11 Hanover Sq, New York, NY, 10005",40.7050351,-74.008818,18293,"NA; DSCC; Future Us; NA; NA; NA; NA; NA; NA; NA; NA","NA; Technology, Advertising, Media, And Information",11,337,0.881170662905501,22.0308320704322,0.620936908875367,"O",1096699.301808
"60","11 Madison Ave, New York, NY, 10010",40.7415982,-73.9871904,146768,"Beam Suntory; Hh Capital; Actioniq; Daniel Humm Hospitality","Retail; Financial Services And Insurance; Technology, Advertising, Media, And Information",4,539,0.809943582510578,21.262740966622,0.599288334086644,"A",12274624.5319642
"61","11 Park Pl, New York, NY, 10007",40.7130513,-74.0084528,36805,"NA; NA; NA; NA; M&R Strategic Services; Transfix; NA; NA","NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Transportation",8,855,0.69851904090268,32.0047880149602,0.902051909600476,"O",2206528.06008
"62","11 Penn Plz, New York, NY, 10001",43.1318845,-77.4402082,1096126,"Apple; Information Builders; Msg Networks; Aeropostale; Apple; Apple; Sparc Group; Apple","Technology, Advertising, Media, And Information; Retail",8,0,1,0,0,"O",61114752.9421661
"63","11 Penn Plz, New York, NY, 10001",43.1318845,-77.4402082,1096126,"Apple; Information Builders; Msg Networks; Aeropostale; Apple; Apple; Sparc Group; Apple","Technology, Advertising, Media, And Information; Retail",8,0,1,0,0,"A",91672129.4132491
"64","11 Times Sq, New York, NY, 10036",40.7566036,-73.989657,371902,"NA; Chiesa Shahinian & Giantomasi; NA; USTA; Kepos Capital; NA; NA; Stx Commodities; NA; Datadog; Emarketer; NA; Datadog; NA; Sir Capital Management; Berry Appleman & Leiden; NA; Ducera Partners; Paige; Paige; Rli; NA","NA; Legal Services; Personal Services And Recreation; Financial Services And Insurance; Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Tbd",22,1768,0.376586741889986,30.7606405840704,0.866985732460541,"A",31103220.1344062
"65","11 W 19th St, New York, NY, 10011",40.7396106,-73.9923652,208000,"Tory Burch; Capital One","Retail; Financial Services And Insurance",2,807,0.715444287729196,25.2693300502675,0.712213666764913,"O",11597087.02464
"66","11 W 42nd St, New York, NY, 10036",40.75428,-73.9818564,754614,"CIT; Burberry; NA; Michael Kors; NA; Studio; NA; CUNY; National Public Radio; New York University; Machine Investment Group; NA; Capitolis; Kohn Pedersen Fox Associates; NA","Financial Services And Insurance; Retail; Tbd; NA; Coworking And Executive Suite Companies; Education; Technology, Advertising, Media, And Information; Construction, Engineering And Architecture",15,1069,0.623060648801128,32.9408445632008,0.928434574482987,"O",42073674.1731331
"67","110 E 42nd St, New York, NY, 10017",40.7514708,-73.9772364,102289,"NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Principium Psychiatry; NA; NA; NA; NA; NA; NA; Braverman Greenspun","NA; Unclassifiable; Legal Services",18,509,0.820521861777151,21.9472755953106,0.618581877562311,"O",5703146.32049712
"68","110 E 59th St, New York, NY, 10022",40.7622471,-73.9694737,311838,"Royalty Pharma, Rp Management Llc; Cantor Fitzgerald; Mason Capital; NA; Quest Partners; ZMC; Rp Management; Stark Office Suites","Financial Services And Insurance; NA; Coworking And Executive Suite Companies",8,382,0.865303244005642,19.2037645744989,0.541256280086825,"A",26079897.2855026
"69","110 E 60th St, New York, NY, 10022",40.7631025,-73.9688353,15300,NA,NA,1,363,0.872002820874471,18.306573559069,0.515969036554181,"O",917263.3968
"70","110 Fifth Ave, New York, NY, 10011",40.9124979,-73.8088497,96282,"NA; Compass","NA; Real Estate (Except Coworking Providers)",2,0,1,0,0,"O",5368224.67743456
"71","110 Leroy St, New York, NY, 10014",40.7300278,-74.0076437,9433,NA,"Tbd",1,197,0.930535966149506,13.0957188370097,0.369101591267961,"O",565525.857648
"72","110 W 40th St, New York, NY, 10018",40.7537079,-73.9859649,56691,"NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA",NA,42,2019,0.288081805359662,35.2281066572768,0.992900839304164,"O",3160819.52170128
